,Y1,Y2,X1,X2,X3,X4,X5                                      ,Ghi chu: Bien Xi la bien giai thich     (bien input)
0,1.29,1.46,0.0,0.0,1.25,1500.0,"800.0                                                    Bien Yi la bien duoc giai thich (bien du bao, output)",
1,1.37,2.69,300.0,2.0,1.25,1500.0,800.0,
2,1.34,2.68,300.0,3.0,1.25,1500.0,800.0,
3,1.32,2.12,200.0,3.0,1.25,1500.0,800.0,
4,1.32,2.12,200.0,2.0,1.25,1500.0,800.0,
5,1.32,2.41,250.0,2.0,1.25,1500.0,800.0,
6,1.32,2.41,250.0,3.0,1.25,1500.0,800.0,
7,1.31,1.54,50.0,1.0,1.25,1500.0,800.0,
8,1.32,1.6,100.0,1.0,1.25,1500.0,800.0,
9,1.32,1.76,150.0,2.0,1.25,1500.0,800.0,
10,1.32,1.61,100.0,2.0,1.25,1500.0,800.0,
11,1.32,1.61,100.0,3.0,1.25,1500.0,800.0,
12,1.32,1.76,150.0,3.0,1.25,1500.0,800.0,
13,1.32,1.75,150.0,4.0,1.25,1500.0,800.0,
14,1.32,2.11,200.0,4.0,1.25,1500.0,800.0,
15,1.33,2.41,250.0,4.0,1.25,1500.0,800.0,
16,1.34,2.68,300.0,4.0,1.25,1500.0,800.0,
17,1.33,1.5,0.0,0.0,1.3,1500.0,800.0,
18,1.41,2.72,300.0,2.0,1.3,1500.0,800.0,
19,1.39,2.71,300.0,3.0,1.3,1500.0,800.0,
20,1.36,2.15,200.0,3.0,1.3,1500.0,800.0,
21,1.36,2.16,200.0,2.0,1.3,1500.0,800.0,
22,1.37,2.45,250.0,2.0,1.3,1500.0,800.0,
23,1.37,2.45,250.0,3.0,1.3,1500.0,800.0,
24,1.35,1.58,50.0,1.0,1.3,1500.0,800.0,
25,1.36,1.64,100.0,1.0,1.3,1500.0,800.0,
26,1.37,1.8,150.0,2.0,1.3,1500.0,800.0,
27,1.36,1.64,100.0,2.0,1.3,1500.0,800.0,
28,1.36,1.64,100.0,3.0,1.3,1500.0,800.0,
29,1.37,1.8,150.0,3.0,1.3,1500.0,800.0,
30,1.37,1.79,150.0,4.0,1.3,1500.0,800.0,
31,1.36,2.15,200.0,4.0,1.3,1500.0,800.0,
32,1.38,2.44,250.0,4.0,1.3,1500.0,800.0,
33,1.39,2.71,300.0,4.0,1.3,1500.0,800.0,
34,1.38,1.54,0.0,0.0,1.35,1500.0,800.0,
35,1.45,2.75,300.0,2.0,1.35,1500.0,800.0,
36,1.44,2.74,300.0,3.0,1.35,1500.0,800.0,
37,1.41,2.19,200.0,3.0,1.35,1500.0,800.0,
38,1.4,2.19,200.0,2.0,1.35,1500.0,800.0,
39,1.42,2.47,250.0,2.0,1.35,1500.0,800.0,
40,1.42,2.47,250.0,3.0,1.35,1500.0,800.0,
41,1.39,1.62,50.0,1.0,1.35,1500.0,800.0,
42,1.4,1.67,100.0,1.0,1.35,1500.0,800.0,
43,1.41,1.84,150.0,2.0,1.35,1500.0,800.0,
44,1.4,1.68,100.0,2.0,1.35,1500.0,800.0,
45,1.4,1.68,100.0,3.0,1.35,1500.0,800.0,
46,1.41,1.84,150.0,3.0,1.35,1500.0,800.0,
47,1.41,1.83,150.0,4.0,1.35,1500.0,800.0,
48,1.41,2.18,200.0,4.0,1.35,1500.0,800.0,
49,1.42,2.47,250.0,4.0,1.35,1500.0,800.0,
50,1.44,2.74,300.0,4.0,1.35,1500.0,800.0,
51,1.42,1.57,0.0,0.0,1.4,1500.0,800.0,
52,1.48,2.77,300.0,2.0,1.4,1500.0,800.0,
53,1.47,2.76,300.0,3.0,1.4,1500.0,800.0,
54,1.46,2.22,200.0,3.0,1.4,1500.0,800.0,
55,1.45,2.23,200.0,2.0,1.4,1500.0,800.0,
56,1.47,2.5,250.0,2.0,1.4,1500.0,800.0,
57,1.47,2.5,250.0,3.0,1.4,1500.0,800.0,
58,1.43,1.65,50.0,1.0,1.4,1500.0,800.0,
59,1.44,1.7,100.0,1.0,1.4,1500.0,800.0,
60,1.44,1.88,150.0,2.0,1.4,1500.0,800.0,
61,1.44,1.7,100.0,2.0,1.4,1500.0,800.0,
62,1.44,1.7,100.0,3.0,1.4,1500.0,800.0,
63,1.44,1.87,150.0,3.0,1.4,1500.0,800.0,
64,1.44,1.86,150.0,4.0,1.4,1500.0,800.0,
65,1.46,2.22,200.0,4.0,1.4,1500.0,800.0,
66,1.47,2.5,250.0,4.0,1.4,1500.0,800.0,
67,1.47,2.75,300.0,4.0,1.4,1500.0,800.0,
68,1.46,1.61,0.0,0.0,1.45,1500.0,800.0,
69,1.54,2.8,300.0,2.0,1.45,1500.0,800.0,
70,1.53,2.79,300.0,3.0,1.45,1500.0,800.0,
71,1.49,2.25,200.0,3.0,1.45,1500.0,800.0,
72,1.49,2.25,200.0,2.0,1.45,1500.0,800.0,
73,1.5,2.53,250.0,2.0,1.45,1500.0,800.0,
74,1.5,2.53,250.0,3.0,1.45,1500.0,800.0,
75,1.47,1.69,50.0,1.0,1.45,1500.0,800.0,
76,1.47,1.73,100.0,1.0,1.45,1500.0,800.0,
77,1.49,1.93,150.0,2.0,1.45,1500.0,800.0,
78,1.47,1.73,100.0,2.0,1.45,1500.0,800.0,
79,1.47,1.73,100.0,3.0,1.45,1500.0,800.0,
80,1.49,1.92,150.0,3.0,1.45,1500.0,800.0,
81,1.49,1.91,150.0,4.0,1.45,1500.0,800.0,
82,1.49,2.25,200.0,4.0,1.45,1500.0,800.0,
83,1.5,2.52,250.0,4.0,1.45,1500.0,800.0,
84,1.53,2.78,300.0,4.0,1.45,1500.0,800.0,
85,1.5,1.64,0.0,0.0,1.5,1500.0,800.0,
86,1.59,2.83,300.0,2.0,1.5,1500.0,800.0,
87,1.59,2.81,300.0,3.0,1.5,1500.0,800.0,
88,1.53,2.28,200.0,3.0,1.5,1500.0,800.0,
89,1.53,2.29,200.0,2.0,1.5,1500.0,800.0,
90,1.56,2.56,250.0,2.0,1.5,1500.0,800.0,
91,1.56,2.56,250.0,3.0,1.5,1500.0,800.0,
92,1.51,1.73,50.0,1.0,1.5,1500.0,800.0,
93,1.51,1.76,100.0,1.0,1.5,1500.0,800.0,
94,1.52,1.96,150.0,2.0,1.5,1500.0,800.0,
95,1.51,1.76,100.0,2.0,1.5,1500.0,800.0,
96,1.51,1.76,100.0,3.0,1.5,1500.0,800.0,
97,1.52,1.95,150.0,3.0,1.5,1500.0,800.0,
98,1.52,1.93,150.0,4.0,1.5,1500.0,800.0,
99,1.53,2.28,200.0,4.0,1.5,1500.0,800.0,
100,1.56,2.56,250.0,4.0,1.5,1500.0,800.0,
101,1.59,2.81,300.0,4.0,1.5,1500.0,800.0,
102,1.54,1.68,0.0,0.0,1.55,1500.0,800.0,
103,1.65,2.86,300.0,2.0,1.55,1500.0,800.0,
104,1.65,2.84,300.0,3.0,1.55,1500.0,800.0,
105,1.59,2.33,200.0,3.0,1.55,1500.0,800.0,
106,1.59,2.34,200.0,2.0,1.55,1500.0,800.0,
107,1.62,2.59,250.0,2.0,1.55,1500.0,800.0,
108,1.62,2.59,250.0,3.0,1.55,1500.0,800.0,
109,1.55,1.76,50.0,1.0,1.55,1500.0,800.0,
110,1.55,1.8,100.0,1.0,1.55,1500.0,800.0,
111,1.56,2.01,150.0,2.0,1.55,1500.0,800.0,
112,1.54,1.8,100.0,2.0,1.55,1500.0,800.0,
113,1.54,1.79,100.0,3.0,1.55,1500.0,800.0,
114,1.56,2.0,150.0,3.0,1.55,1500.0,800.0,
115,1.56,1.98,150.0,4.0,1.55,1500.0,800.0,
116,1.6,2.33,200.0,4.0,1.55,1500.0,800.0,
117,1.62,2.59,250.0,4.0,1.55,1500.0,800.0,
118,1.65,2.84,300.0,4.0,1.55,1500.0,800.0,
119,1.58,1.72,0.0,0.0,1.6,1500.0,800.0,
120,1.7,2.89,300.0,2.0,1.6,1500.0,800.0,
121,1.7,2.88,300.0,3.0,1.6,1500.0,800.0,
122,1.65,2.37,200.0,3.0,1.6,1500.0,800.0,
123,1.65,2.37,200.0,2.0,1.6,1500.0,800.0,
124,1.68,2.62,250.0,2.0,1.6,1500.0,800.0,
125,1.68,2.63,250.0,3.0,1.6,1500.0,800.0,
126,1.58,1.79,50.0,1.0,1.6,1500.0,800.0,
127,1.58,1.84,100.0,1.0,1.6,1500.0,800.0,
128,1.62,2.06,150.0,2.0,1.6,1500.0,800.0,
129,1.58,1.84,100.0,2.0,1.6,1500.0,800.0,
130,1.58,1.83,100.0,3.0,1.6,1500.0,800.0,
131,1.62,2.05,150.0,3.0,1.6,1500.0,800.0,
132,1.62,2.04,150.0,4.0,1.6,1500.0,800.0,
133,1.65,2.36,200.0,4.0,1.6,1500.0,800.0,
134,1.67,2.62,250.0,4.0,1.6,1500.0,800.0,
135,1.7,2.87,300.0,4.0,1.6,1500.0,800.0,
136,1.61,1.75,0.0,0.0,1.65,1500.0,800.0,
137,1.75,2.92,300.0,2.0,1.65,1500.0,800.0,
138,1.75,2.91,300.0,3.0,1.65,1500.0,800.0,
139,1.71,2.41,200.0,3.0,1.65,1500.0,800.0,
140,1.71,2.41,200.0,2.0,1.65,1500.0,800.0,
141,1.73,2.66,250.0,2.0,1.65,1500.0,800.0,
142,1.73,2.65,250.0,3.0,1.65,1500.0,800.0,
143,1.62,1.82,50.0,1.0,1.65,1500.0,800.0,
144,1.64,1.89,100.0,1.0,1.65,1500.0,800.0,
145,1.68,2.11,150.0,2.0,1.65,1500.0,800.0,
146,1.63,1.89,100.0,2.0,1.65,1500.0,800.0,
147,1.64,1.89,100.0,3.0,1.65,1500.0,800.0,
148,1.68,2.1,150.0,3.0,1.65,1500.0,800.0,
149,1.68,2.09,150.0,4.0,1.65,1500.0,800.0,
150,1.71,2.41,200.0,4.0,1.65,1500.0,800.0,
151,1.73,2.65,250.0,4.0,1.65,1500.0,800.0,
152,1.75,2.9,300.0,4.0,1.65,1500.0,800.0,
153,1.65,1.8,0.0,0.0,1.7,1500.0,800.0,
