Y1,Y2
1.62,2.56
1.63,2.4
1.35,2.5
1.38,1.96
1.71,1.73
1.79,1.85
1.7,2.45
1.55,1.81
1.56,2.34
1.94,2.59
1.43,2.52
1.37,1.42
1.87,2.34
1.39,1.48
1.62,2.59
1.46,2.69
1.72,2.22
1.43,1.65
1.47,1.73
1.49,1.93
1.59,1.84
1.64,1.76
1.49,1.95
1.43,1.57
1.26,1.76
1.67,1.7
1.84,2.5
1.71,2.4
1.28,2.14
1.7,2.88
1.61,1.87
1.52,1.56
1.59,1.71
1.79,1.94
1.68,2.62
1.92,2.62
1.42,2.26
1.45,2.52
1.62,2.61
1.32,1.62
1.85,2.07
1.52,1.65
1.54,1.71
1.79,1.94
1.6,2.34
1.48,2.0
1.76,1.85
1.69,2.84
1.72,1.9
1.73,1.69
1.53,2.33
1.7,1.83
1.35,1.74
1.83,2.02
1.24,1.3
1.66,1.97
1.59,2.83
1.78,1.91
1.74,1.8
1.53,1.57
1.57,2.38
1.63,1.84
1.45,1.9
1.73,1.84
1.69,1.94
1.43,2.21
1.39,2.01
1.4,2.31
1.68,1.74
1.71,1.72
1.26,1.42
1.68,2.64
1.79,2.21
1.42,1.84
1.32,2.41
1.88,2.27
1.86,2.54
1.54,1.89
1.47,1.55
1.62,1.7
1.51,1.47
1.73,1.83
1.52,2.27
1.79,1.99
1.78,2.53
1.5,1.85
1.47,1.58
1.9,2.37
1.87,2.55
1.56,2.02
1.45,2.45
1.78,1.94
1.34,1.51
1.53,2.05
1.31,1.79
1.39,2.51
1.52,1.78
1.57,1.66
1.61,2.56
1.5,1.65
1.67,1.8
1.69,1.82
1.37,2.29
1.41,2.2
1.75,2.5
1.29,1.37
1.92,2.65
1.45,1.51
1.95,2.6
1.96,3.12
1.43,1.81
1.7,2.25
1.48,1.66
1.31,1.46
1.46,2.23
1.66,2.64
1.54,1.58
1.68,1.8
1.76,2.0
1.34,1.41
1.72,2.67
1.39,2.73
1.47,2.51
1.45,2.04
1.42,1.65
1.59,1.66
1.45,1.57
1.43,1.56
1.65,1.97
1.59,2.83
1.52,1.64
1.16,1.2
1.92,2.45
1.91,2.68
1.68,1.74
1.73,2.46
1.31,1.47
1.46,1.75
1.84,1.99
1.63,1.67
1.79,1.83
1.32,2.15
1.39,1.54
1.66,1.74
1.73,1.83
1.39,2.26
1.36,2.01
1.53,2.33
1.66,2.18
1.82,2.5
1.53,1.78
1.34,1.85
1.36,1.82
1.43,2.27
1.28,2.24
1.35,1.69
1.8,2.47
1.76,1.78
1.88,2.8
1.58,2.05
1.75,2.18
1.35,2.23
1.2,1.33
1.93,2.32
1.83,2.06
1.38,1.72
1.56,2.02
1.36,1.42
1.54,1.68
1.5,1.64
1.52,1.65
1.45,1.99
1.34,1.68
1.76,2.19
1.69,1.95
1.73,1.88
1.7,2.39
1.77,2.25
1.38,1.53
1.8,2.47
1.79,2.71
1.61,1.64
1.7,2.44
1.79,2.45
1.72,1.74
1.64,1.76
1.39,1.85
1.34,2.72
1.75,1.81
1.79,2.7
1.44,1.54
1.55,1.67
1.82,2.51
1.65,1.78
1.61,2.62
1.68,1.69
1.6,2.14
1.53,1.97
1.49,1.59
1.55,1.63
1.68,2.39
1.4,2.28
1.62,1.83
1.69,1.92
1.32,1.98
1.65,2.37
1.56,1.68
1.74,2.89
1.46,1.74
1.66,2.11
1.82,2.29
1.35,1.45
1.42,1.52
1.88,2.27
1.36,1.94
1.42,1.97
1.78,2.5
1.41,2.18
1.42,2.37
1.84,2.27
1.78,2.34
1.32,1.42
1.26,1.36
1.33,2.41
1.64,2.11
1.35,1.73
1.72,2.68
1.42,1.89
1.78,1.88
1.51,1.73
1.49,1.58
1.44,2.02
1.45,1.48
1.36,1.81
1.35,1.44
1.54,1.7
1.33,2.15
1.56,1.82
1.56,1.7
1.71,1.98
1.83,1.96
1.54,1.66
1.72,2.27
1.5,2.59
1.74,1.82
1.44,1.61
1.62,2.6
1.36,1.98
1.5,2.05
1.53,2.36
1.66,1.79
1.46,1.5
1.47,1.69
1.33,2.32
1.74,1.79
1.61,1.61
1.14,1.11
1.82,2.21
1.6,2.35
1.76,2.0
1.71,1.73
1.82,2.59
1.35,1.78
1.36,2.21
1.28,1.55
1.56,1.73
1.88,2.12
1.36,1.64
1.69,1.84
1.82,2.29
1.44,2.08
1.81,2.5
1.68,1.82
1.84,2.27
1.52,1.77
1.24,1.29
1.29,1.47
1.65,2.85
1.66,1.89
1.39,2.22
1.58,1.67
1.31,1.76
1.32,1.62
1.54,1.55
1.3,1.44
1.32,1.38
1.52,1.84
1.39,2.01
1.23,1.19
1.28,1.73
1.43,1.55
1.44,1.44
1.62,2.31
1.53,1.79
1.74,2.02
1.37,1.4
1.87,3.01
1.26,1.37
1.55,1.64
1.33,1.65
1.78,2.18
1.49,2.08
1.56,1.97
1.34,2.45
1.68,1.87
1.9,2.54
1.43,1.99
1.28,1.34
1.39,1.48
1.46,1.79
1.59,1.68
1.62,2.59
1.82,2.29
1.54,1.83
1.61,2.62
1.28,1.33
1.91,2.38
1.47,2.75
1.28,2.07
1.71,1.72
1.85,1.98
1.63,1.77
1.52,1.78
1.73,2.67
1.4,2.27
1.38,1.46
1.53,2.28
1.33,2.0
1.44,1.85
1.91,2.38
1.29,2.38
1.32,1.57
1.79,2.94
1.4,1.55
1.59,1.54
1.46,2.27
1.32,1.95
1.43,1.82
1.83,2.23
1.78,2.7
1.49,1.66
1.84,2.24
1.29,1.34
1.31,1.31
1.64,1.7
1.79,2.03
1.79,1.83
1.34,1.51
1.62,1.74
1.51,1.56
1.34,1.34
1.6,1.61
1.83,2.03
1.33,1.48
1.41,1.69
1.46,2.29
1.54,2.07
1.14,1.15
1.78,2.18
1.42,1.47
1.41,1.67
1.49,2.25
1.6,2.17
1.46,1.6
1.7,2.57
1.61,2.13
1.74,1.79
1.74,1.79
1.84,2.74
1.48,2.02
1.42,2.25
1.88,2.1
1.69,2.49
1.75,1.78
1.6,1.84
1.77,2.26
1.64,2.4
1.27,1.36
1.65,2.49
1.73,2.66
1.47,2.14
1.45,1.65
1.78,2.19
1.63,1.59
1.68,1.74
1.59,1.85
1.42,1.96
1.9,2.58
1.59,1.61
1.29,1.73
1.42,1.54
1.83,2.73
1.92,2.84
1.34,2.45
1.66,1.63
1.63,2.37
1.87,1.98
1.48,2.1
1.8,1.89
1.43,2.35
1.47,1.41
1.77,1.86
1.89,2.03
1.88,2.09
1.38,1.68
1.43,2.04
1.44,2.12
1.69,1.69
1.82,2.3
1.6,1.63
1.52,1.64
1.3,1.31
1.72,2.01
1.53,1.79
1.62,1.7
1.42,1.67
1.5,1.77
1.32,2.14
1.29,1.46
1.35,1.6
1.52,2.29
1.6,1.82
1.88,2.07
1.47,1.59
1.34,1.5
1.33,1.77
1.56,1.59
1.38,2.21
1.72,2.7
1.26,1.45
1.75,2.46
1.9,3.05
1.44,2.75
1.84,1.99
1.56,2.37
1.83,2.01
1.69,1.77
1.42,1.52
1.72,2.64
1.39,1.55
1.8,1.89
1.77,2.04
1.68,1.64
1.43,2.49
1.22,1.32
1.83,2.07
1.42,2.34
1.72,2.22
1.39,2.45
1.48,2.37
1.84,2.55
1.48,1.72
1.66,1.97
1.35,1.92
1.86,2.52
1.56,2.3
1.76,2.28
1.87,2.09
1.69,2.48
1.8,2.95
1.31,1.87
1.37,2.46
1.78,2.21
1.67,2.4
1.75,1.86
1.95,2.82
1.35,1.63
1.83,2.22
1.36,1.3
1.56,2.01
1.85,2.01
1.54,2.14
1.4,2.0
1.82,1.91
1.39,2.18
1.6,1.73
1.85,2.25
1.66,1.9
1.92,2.83
1.91,2.6
1.29,1.48
1.43,1.6
1.87,2.56
1.38,1.81
1.45,2.04
1.45,1.8
1.9,2.17
1.49,1.65
1.73,2.3
1.68,1.81
1.71,1.73
1.37,1.48
1.82,1.94
1.76,1.88
1.82,2.05
1.79,1.92
1.41,2.31
1.95,2.6
1.64,1.64
1.69,2.37
1.52,1.64
1.33,1.62
1.37,1.65
1.39,1.39
1.5,1.6
1.82,1.98
1.91,2.56
1.28,1.48
1.89,2.03
1.38,1.8
1.83,2.38
1.54,1.68
1.63,1.88
1.6,1.81
1.72,2.37
1.46,1.5
1.34,2.48
1.46,2.04
1.32,1.97
1.56,1.87
1.4,1.86
1.49,1.73
1.81,2.62
1.44,2.4
1.9,3.05
1.88,2.57
1.37,1.42
1.42,1.78
1.42,1.75
1.37,2.17
1.46,1.97
1.84,2.55
1.44,1.44
1.22,1.32
1.84,1.99
1.56,1.6
1.5,1.66
1.48,1.94
1.53,2.38
1.78,1.95
1.92,2.82
1.8,2.0
1.27,1.5
1.62,2.36
1.76,1.77
1.74,1.74
1.47,1.56
